scost,jcost,scancost,tuples
0.0,0.0,627.748,391006.0
0.0,0.0,267.448,4401.0
0.0,0.0,797.294,886624.0
0.0,0.0,12.607,100000.0
0.0,0.0,3.361,4056.0
0.0,0.0,364.426,2880404.0
0.0,0.0,0.102,293.0
0.0,0.0,260.836,18852.0
0.0,0.0,8.297,100000.0
0.0,0.0,11.126,40609.0
0.0,0.0,7.659,100000.0
0.0,0.0,0.019,2.0
0.0,0.0,0.006,3.0
0.0,0.0,0.042,300.0
0.0,0.0,11.892,48861.0
0.0,0.0,0.029,300.0
0.0,0.0,0.026,300.0
0.0,0.0,10.906,28335.0
0.0,0.0,706.63,534489.0
0.0,0.0,232.608,734.0
0.0,0.0,11.254,29212.0
0.0,0.0,221.912,17050.0
0.0,0.0,340.158,2880404.0
0.0,0.0,0.018,7.0
0.0,0.0,0.027,300.0
0.0,0.0,2.013,1328.0
0.0,0.0,0.005,2.0
0.0,0.0,1.776,585.0
0.0,0.0,2.193,14356.0
0.0,0.0,7.136,100000.0
0.0,0.0,1.891,2646.0
0.0,0.0,245.107,3244.0
0.0,0.0,11.526,56808.0
0.0,0.0,6.644,100000.0
0.0,0.0,0.004,12.0
0.0,0.0,0.043,294.0
0.0,0.0,0.055,300.0
0.0,0.0,0.005,1.0
0.0,0.0,293.204,65637.0
0.0,0.0,0.006,12.0
0.0,0.0,7.71,100000.0
0.0,0.0,2.732,7329.0
0.0,0.0,2.269,12574.0
0.0,0.0,0.06,294.0
0.0,0.0,1.987,3893.0
0.0,0.0,2.222,675.0
0.0,0.0,1.721,398.0
0.0,0.0,7.471,100000.0
0.0,0.0,0.064,293.0
0.0,0.0,0.005,12.0
0.0,0.0,11.317,64627.0
0.0,0.0,6.415,100000.0
0.0,0.0,575.251,257065.0
0.0,0.0,0.008,1.0
0.0,0.0,11.586,88909.0
0.0,0.0,2.083,4091.0
0.0,0.0,2.088,468.0
0.0,0.0,0.044,293.0
0.0,0.0,6.719,100000.0
0.0,0.0,0.003,12.0
0.0,0.0,272.103,3110.0
0.0,0.0,589.779,603702.0
0.0,0.0,7.441,100000.0
0.0,0.0,337.861,2880404.0
0.0,0.0,7.005,100000.0
0.0,0.0,7.105,100000.0
0.0,0.0,0.008,5.0
0.0,0.0,0.026,300.0
0.0,0.0,0.024,300.0
0.0,0.0,2.027,8097.0
0.0,0.0,0.04,293.0
0.0,0.0,0.023,300.0
0.0,0.0,0.041,294.0
0.0,0.0,2.063,10821.0
0.0,0.0,6.781,100000.0
0.0,0.0,6.794,100000.0
0.0,0.0,240.577,18770.0
0.0,0.0,1.881,1811.0
0.0,0.0,0.025,300.0
0.0,0.0,514.591,597149.0
0.0,0.0,10.895,40300.0
0.0,0.0,586.432,518517.0
0.0,0.0,0.06,294.0
0.0,0.0,0.052,293.0
0.0,0.0,2.109,5478.0
0.0,0.0,2.177,3412.0
0.0,0.0,0.042,293.0
0.0,0.0,12.166,60203.0
0.0,0.0,11.735,54556.0
0.0,0.0,0.027,300.0
0.0,0.0,195.672,36044.0
0.0,0.0,7.414,100000.0
0.0,0.0,2.152,601.0
0.0,0.0,238.275,3292.0
0.0,0.0,7.575,100000.0
0.0,0.0,1.923,5871.0
0.0,0.0,0.06,294.0
0.0,0.0,0.024,300.0
0.0,0.0,0.007,3.0
0.0,0.0,7.304,100000.0
0.0,0.0,11.633,47616.0
0.0,0.0,0.025,300.0
0.0,0.0,7.25,100000.0
0.0,0.0,0.003,12.0
0.0,0.0,0.007,4.0
0.0,0.0,0.006,5.0
0.0,0.0,2.017,275.0
0.0,0.0,2.053,5330.0
0.0,0.0,266.004,0.0
0.0,0.0,0.008,3.0
0.0,0.0,0.005,2.0
0.0,0.0,256.124,6094.0
0.0,0.0,209.402,81.0
0.0,0.0,10.017,16514.0
0.0,0.0,2.655,9666.0
0.0,0.0,1.689,1652.0
0.0,0.0,2.377,2501.0
0.0,0.0,7.042,100000.0
0.0,0.0,0.027,300.0
0.0,0.0,10.428,37831.0
0.0,0.0,0.006,6.0
0.0,0.0,0.042,294.0
0.0,0.0,0.024,300.0
0.0,0.0,272.045,71.0
0.0,0.0,2.24,1802.0
0.0,0.0,0.006,10.0
0.0,0.0,236.572,8.0
0.0,0.0,0.078,294.0
0.0,0.0,8.022,100000.0
0.0,0.0,214.948,0.0
0.0,0.0,0.008,3.0
0.0,0.0,7.602,100000.0
0.0,0.0,637.866,460223.0
0.0,0.0,2.453,12742.0
0.0,0.0,2.323,8878.0
0.0,0.0,0.005,2.0
0.0,0.0,0.005,1.0
0.0,0.0,0.006,3.0
0.0,0.0,260.74,8566.0
0.0,0.0,0.047,293.0
0.0,0.0,11.928,60124.0
0.0,0.0,354.249,2880404.0
0.0,0.0,11.089,64567.0
0.0,0.0,228.081,6010.0
0.0,0.0,0.008,3.0
0.0,0.0,0.006,2.0
0.0,0.0,10.17,24399.0
0.0,0.0,1.909,1590.0
0.0,0.0,0.005,6.0
0.0,0.0,1.324,18000.0
0.0,0.0,10.58,43476.0
0.0,0.0,9.553,32293.0
0.0,0.0,10.675,64577.0
0.0,0.0,8.935,11380.0
0.0,0.0,280.078,29754.0
0.0,0.0,0.045,293.0
0.0,0.0,250.111,101392.0
0.0,0.0,0.008,2.0
0.0,0.0,0.027,300.0
0.0,0.0,252.727,117507.0
0.0,0.0,7.708,100000.0
0.0,0.0,226.416,47321.0
0.0,0.0,0.074,294.0
0.0,0.0,11.899,79496.0
0.0,0.0,1.967,5594.0
0.0,0.0,0.007,1.0
0.0,0.0,0.004,12.0
0.0,0.0,1.684,1524.0
0.0,0.0,10.601,32260.0
0.0,0.0,0.027,300.0
0.0,0.0,1.65,628.0
0.0,0.0,1.958,310.0
0.0,0.0,0.046,294.0
0.0,0.0,2.193,3221.0
0.0,0.0,12.136,72694.0
0.0,0.0,250.222,2274.0
0.0,0.0,0.025,12.0
0.0,0.0,0.028,300.0
0.0,0.0,0.024,300.0
0.0,0.0,7.984,100000.0
0.0,0.0,0.006,3.0
0.0,0.0,9.482,22139.0
0.0,0.0,709.84,608435.0
0.0,0.0,0.043,294.0
0.0,0.0,418.981,244053.0
0.0,0.0,336.097,2880404.0
0.0,0.0,505.712,817380.0
0.0,0.0,223.965,67418.0
